id,name.local,name.en,name.slug,code.id,children_count.barangay,geo.lat,geo.lon
061901,Cuartero,Cuartero,cuartero-061901,061901,22,11.35,122.667
061902,Dao,Dao,dao-061902,061902,20,11.4,122.683
061903,Dumalag,Dumalag,dumalag-061903,061903,19,11.3,122.617
061904,Dumarao,Dumarao,dumarao-061904,061904,33,11.267,122.683
061905,Ivisan,Ivisan,ivisan-061905,061905,15,11.517,122.683
061906,Jamindan,Jamindan,jamindan-061906,061906,30,11.4,122.5
061907,Ma-Ayon,Ma-Ayon,ma-ayon-061907,061907,32,11.383,122.783
061908,Mambusao,Mambusao,mambusao-061908,061908,26,11.433,122.6
061909,Panay,Panay,panay-061909,061909,42,11.55,122.8
061910,Panitan,Panitan,panitan-061910,061910,26,11.467,122.767
061911,Pilar,Pilar,pilar-061911,061911,24,11.483,123
061912,Pontevedra,Pontevedra,pontevedra-061912,061912,26,11.483,122.833
061913,President Roxas,President Roxas,president-roxas-061913,061913,22,11.433,122.933
061914,Roxas City,Roxas City,roxas-city-061914,061914,47,11.583,122.75
061915,Sapi-An,Sapi-An,sapi-an-061915,061915,10,11.5,122.6
061916,Sigma,Sigma,sigma-061916,061916,21,11.417,122.667
061917,Tapaz,Tapaz,tapaz-061917,061917,58,11.267,122.533
