id,name.local,name.en,name.slug,code.id,children_count.barangay,geo.lat,geo.lon
082601,Arteche,Arteche,arteche-082601,082601,20,12.267,125.367
082602,Balangiga,Balangiga,balangiga-082602,082602,13,11.117,125.383
082603,Balangkayan,Balangkayan,balangkayan-082603,082603,15,11.467,125.5
082604,Borongan,Borongan,borongan-082604,082604,61,11.6,125.43
082605,Can-Avid,Can-Avid,can-avid-082605,082605,28,12,125.45
082606,Dolores,Dolores,dolores-082606,082606,46,12.05,125.483
082607,General Macarthur,General Macarthur,general-macarthur-082607,082607,30,11.25,125.533
082608,Giporlos,Giporlos,giporlos-082608,082608,18,11.117,125.45
082609,Guiuan,Guiuan,guiuan-082609,082609,60,11.033,125.733
082610,Hernani,Hernani,hernani-082610,082610,13,11.333,125.583
082611,Jipapad,Jipapad,jipapad-082611,082611,13,12.283,125.233
082612,Lawaan,Lawaan,lawaan-082612,082612,16,11.15,125.3
082613,Llorente,Llorente,llorente-082613,082613,33,11.417,125.533
082614,Maslog,Maslog,maslog-082614,082614,12,12.1,125.167
082615,Maydolong,Maydolong,maydolong-082615,082615,20,11.5,125.5
082616,Mercedes,Mercedes,mercedes-082616,082616,16,11.1,125.717
082617,Oras,Oras,oras-082617,082617,42,12.133,125.433
082618,Quinapondan,Quinapondan,quinapondan-082618,082618,25,11.15,125.517
082619,Salcedo,Salcedo,salcedo-082619,082619,41,11.15,125.667
082620,San Julian,San Julian,san-julian-082620,082620,16,11.75,125.45
082621,San Policarpo,San Policarpo,san-policarpo-082621,082621,17,12.183,125.5
082622,Sulat,Sulat,sulat-082622,082622,18,11.817,125.45
082623,Taft,Taft,taft-082623,082623,24,11.9,125.417
