id,name.local,name.en,name.slug,code.id,children_count.barangay,geo.lat,geo.lon
043401,Alaminos,Alaminos,alaminos-043401,043401,15,14.06306,121.24806
043402,Bay,Bay,bay-043402,043402,15,14.183,121.283
043403,Biñan,Biñan,bian-043403,043403,24,14.33,121.08
043404,Cabuyao City,Cabuyao City,cabuyao-city-043404,043404,18,14.1667,121.4167
043405,Calamba,Calamba,calamba-043405,043405,54,8.55833,123.64167
043406,Calauan,Calauan,calauan-043406,043406,17,14.15,121.317
043407,Cavinti,Cavinti,cavinti-043407,043407,19,14.25,121.517
043408,Famy,Famy,famy-043408,043408,20,14.433,121.45
043409,Kalayaan,Kalayaan,kalayaan-043409,043409,3,14.35,121.567
043410,Liliw,Liliw,liliw-043410,043410,33,14.133,121.433
043411,Los Baños,Los Baños,los-baos-043411,043411,14,14.167,121.217
043412,Luisiana,Luisiana,luisiana-043412,043412,23,14.183,121.517
043413,Lumban,Lumban,lumban-043413,043413,16,14.29806,121.46
043414,Mabitac,Mabitac,mabitac-043414,043414,15,14.4275,121.42667
043415,Magdalena,Magdalena,magdalena-043415,043415,24,14.2,121.433
043416,Majayjay,Majayjay,majayjay-043416,043416,40,14.15,121.467
043417,Nagcarlan,Nagcarlan,nagcarlan-043417,043417,52,14.133,121.417
043418,Paete,Paete,paete-043418,043418,9,14.367,121.483
043419,Pagsanjan,Pagsanjan,pagsanjan-043419,043419,16,14.27306,121.45389
043420,Pakil,Pakil,pakil-043420,043420,13,14.383,121.483
043421,Pangil,Pangil,pangil-043421,043421,8,14.40306,121.46611
043422,Pila,Pila,pila-043422,043422,17,14.233,121.367
043423,Rizal,Rizal,rizal-043423,043423,11,14.10917,121.39444
043424,San Pablo City,San Pablo City,san-pablo-city-043424,043424,80,14.07,121.32
043425,San Pedro,San Pedro,san-pedro-043425,043425,27,14.3583,121.0583
043426,Santa Cruz,Santa Cruz,santa-cruz-043426,043426,26,14.27861,121.41556
043427,Santa Maria,Santa Maria,santa-maria-043427,043427,25,14.47,121.42611
043428,Santa Rosa,Santa Rosa,santa-rosa-043428,043428,18,11.4993,124.9586
043429,Siniloan,Siniloan,siniloan-043429,043429,20,14.417,121.45
043430,Victoria,Victoria,victoria-043430,043430,9,14.22694,121.32806
