id,name.local,name.en,name.slug,code.id,children_count.barangay,geo.lat,geo.lon
030801,Abucay,Abucay,abucay-030801,030801,9,14.733,120.533
030802,Bagac,Bagac,bagac-030802,030802,14,14.6,120.4
030803,Balanga,Balanga,balanga-030803,030803,25,14.6764,120.5364
030804,Dinalupihan,Dinalupihan,dinalupihan-030804,030804,46,14.883,120.467
030805,Hermosa,Hermosa,hermosa-030805,030805,23,14.833,120.5
030806,Limay,Limay,limay-030806,030806,12,14.567,120.6
030807,Mariveles,Mariveles,mariveles-030807,030807,18,14.433,120.483
030808,Morong,Morong,morong-030808,030808,5,14.683,120.267
030809,Orani,Orani,orani-030809,030809,29,14.8,120.533
030810,Orion,Orion,orion-030810,030810,23,14.617,120.583
030811,Pilar,Pilar,pilar-030811,030811,19,14.667,120.567
030812,Samal,Samal,samal-030812,030812,14,14.767,120.55
