id,name.local,name.en,name.slug,code.id,children_count.barangay,geo.lat,geo.lon
097226,Bacungan (Leon T. Postigo),Bacungan (Leon T. Postigo),bacungan-leon-t-postigo-097226,097226,18,8.083,122.933
097224,Baliguian,Baliguian,baliguian-097224,097224,17,7.817,122.25
097201,Dapitan City,Dapitan City,dapitan-city-097201,097201,50,8.65,123.417
097202,Dipolog City,Dipolog City,dipolog-city-097202,097202,21,8.567,123.333
097225,Godod,Godod,godod-097225,097225,17,8,122.817
097223,Gutalac,Gutalac,gutalac-097223,097223,33,7.983,122.4
097222,Jose Dalman (Ponot),Jose Dalman (Ponot),jose-dalman-ponot-097222,097222,18,8.45,123.033
097227,Kalawit,Kalawit,kalawit-097227,097227,14,7.933,122.533
097203,Katipunan,Katipunan,katipunan-097203,097203,30,8.433,123.283
097204,La Libertad,La Libertad,la-libertad-097204,097204,13,8.45,123.5
097205,Labason,Labason,labason-097205,097205,20,8.067,122.517
097206,Liloy,Liloy,liloy-097206,097206,37,8.117,122.667
097207,Manukan,Manukan,manukan-097207,097207,22,8.533,123.1
097208,Mutia,Mutia,mutia-097208,097208,16,8.433,123.467
097209,Piñan (New Piñan),Piñan (New Piñan),pian-new-pian-097209,097209,22,8.4,123.433
097210,Polanco,Polanco,polanco-097210,097210,30,8.533,123.367
097211,Pres. Manuel A. Roxas,Pres. Manuel A. Roxas,pres-manuel-a-roxas-097211,097211,31,8.0833,123.1333
097212,Rizal,Rizal,rizal-097212,097212,22,8.583,123.533
097213,Salug,Salug,salug-097213,097213,23,8.033,122.833
097214,Sergio Osmeña Sr.,Sergio Osmeña Sr.,sergio-osmea-sr-097214,097214,39,8.267,123.383
097215,Siayan,Siayan,siayan-097215,097215,22,8.133,123.1
097216,Sibuco,Sibuco,sibuco-097216,097216,28,7.283,122.067
097217,Sibutad,Sibutad,sibutad-097217,097217,16,8.6,123.467
097218,Sindangan,Sindangan,sindangan-097218,097218,52,8.233,123
097219,Siocon,Siocon,siocon-097219,097219,26,7.7,122.133
097220,Sirawai,Sirawai,sirawai-097220,097220,34,7.583,122.133
097221,Tampilisan,Tampilisan,tampilisan-097221,097221,20,8.017,122.683
