id,name.local,name.en,name.slug,code.id,children_count.barangay,geo.lat,geo.lon
012901,Alilem,Alilem,alilem-012901,012901,9,16.883,120.533
012902,Banayoyo,Banayoyo,banayoyo-012902,012902,14,17.233,120.483
012903,Bantay,Bantay,bantay-012903,012903,34,17.583,120.383
012904,Burgos,Burgos,burgos-012904,012904,26,17.333,120.5
012905,Cabugao,Cabugao,cabugao-012905,012905,33,17.8,120.45
012906,Candon,Candon,candon-012906,012906,42,17.2,120.45
012907,Caoayan,Caoayan,caoayan-012907,012907,17,17.533,120.4
012908,Cervantes,Cervantes,cervantes-012908,012908,13,16.99167,120.73333
012909,Galimuyod,Galimuyod,galimuyod-012909,012909,24,17.183,120.467
012910,Gregorio Del Pilar (Concepcion),Gregorio Del Pilar (Concepcion),gregorio-del-pilar-concepcion-012910,012910,7,6.4541,124.8801
012911,Lidlidda,Lidlidda,lidlidda-012911,012911,11,17.267,120.517
012912,Magsingal,Magsingal,magsingal-012912,012912,30,17.68333,120.425
012913,Nagbukel,Nagbukel,nagbukel-012913,012913,12,17.45,120.55
012914,Narvacan,Narvacan,narvacan-012914,012914,34,17.417,120.483
012915,Quirino (Angkaki),Quirino (Angkaki),quirino-angkaki-012915,012915,9,17.15,120.667
012916,Salcedo (Baugen),Salcedo (Baugen),salcedo-baugen-012916,012916,21,17.15,120.533
012917,San Emilio,San Emilio,san-emilio-012917,012917,8,17.233,120.617
012918,San Esteban,San Esteban,san-esteban-012918,012918,10,17.333,120.45
012919,San Ildefonso,San Ildefonso,san-ildefonso-012919,012919,15,17.617,120.4
012920,San Juan (Lapog),San Juan (Lapog),san-juan-lapog-012920,012920,32,17.72917,120.46083
012921,San Vicente,San Vicente,san-vicente-012921,012921,7,17.58111,120.34694
012922,Santa,Santa,santa-012922,012922,26,17.49056,120.43722
012923,Santa Catalina,Santa Catalina,santa-catalina-012923,012923,9,17.6,120.367
012924,Santa Cruz,Santa Cruz,santa-cruz-012924,012924,49,17.02,120.47472
012925,Santa Lucia,Santa Lucia,santa-lucia-012925,012925,36,17.117,120.45
012926,Santa Maria,Santa Maria,santa-maria-012926,012926,33,17.35861,120.49806
012927,Santiago,Santiago,santiago-012927,012927,24,17.3,120.45
012928,Santo Domingo,Santo Domingo,santo-domingo-012928,012928,36,17.633,120.417
012929,Sigay,Sigay,sigay-012929,012929,7,17.033,120.583
012930,Sinait,Sinait,sinait-012930,012930,44,17.86611,120.45806
012931,Sugpon,Sugpon,sugpon-012931,012931,6,16.85,120.517
012932,Suyo,Suyo,suyo-012932,012932,8,16.98,120.52694
012933,Tagudin,Tagudin,tagudin-012933,012933,43,16.933,120.45
012934,Vigan,Vigan,vigan-012934,012934,39,17.57,120.38
