id,name.local,name.en,name.slug,code.id,children_count.municipality,children_count.barangay,geo.lat,geo.lon
118200,Compostela Valley,Compostela Valley,compostela-valley-118200,118200,11,237,10.4534,123.9085
112300,Davao del Norte,Davao del Norte,davao-del-norte-112300,112300,11,223,8.4347,125.0699
112400,Davao del Sur,Davao del Sur,davao-del-sur-112400,112400,11,414,9.7044,123.7491
118600,Davao Occidental,Davao Occidental,davao-occidental-118600,118600,5,105,8.1233,124.5037
112500,Davao Oriental,Davao Oriental,davao-oriental-112500,112500,11,183,8.3438,125.1929
