id,name.local,name.en,name.slug,code.id,children_count.barangay,geo.lat,geo.lon
015501,Agno,Agno,agno-015501,015501,17,16.117,119.8
015502,Aguilar,Aguilar,aguilar-015502,015502,16,15.833,120.2
015503,Alaminos,Alaminos,alaminos-015503,015503,39,14.06306,121.24806
015504,Alcala,Alcala,alcala-015504,015504,21,15.84722,120.52417
015505,Anda,Anda,anda-015505,015505,18,16.283,119.967
015506,Asingan,Asingan,asingan-015506,015506,21,16,120.667
015507,Balungao,Balungao,balungao-015507,015507,20,15.9,120.7
015508,Bani,Bani,bani-015508,015508,27,16.2,119.85
015509,Basista,Basista,basista-015509,015509,13,15.85,120.4
015510,Bautista,Bautista,bautista-015510,015510,18,15.783,120.5
015511,Bayambang,Bayambang,bayambang-015511,015511,77,15.81056,120.45472
015512,Binalonan,Binalonan,binalonan-015512,015512,24,16.05,120.6
015513,Binmaley,Binmaley,binmaley-015513,015513,33,16.033,120.267
015514,Bolinao,Bolinao,bolinao-015514,015514,30,16.333,119.883
015515,Bugallon,Bugallon,bugallon-015515,015515,24,15.917,120.183
015516,Burgos,Burgos,burgos-015516,015516,14,16.04639,119.85667
015517,Calasiao,Calasiao,calasiao-015517,015517,24,16.017,120.367
015518,Dagupan City,Dagupan City,dagupan-city-015518,015518,31,16.03,120.33
015519,Dasol,Dasol,dasol-015519,015519,18,15.98972,119.88056
015520,Infanta,Infanta,infanta-015520,015520,13,15.817,119.9
015521,Labrador,Labrador,labrador-015521,015521,10,16,120.117
015548,Laoac,Laoac,laoac-015548,015548,22,16.1167,120
015522,Lingayen,Lingayen,lingayen-015522,015522,32,16.02,120.23083
015523,Mabini,Mabini,mabini-015523,015523,16,16.06972,119.94
015524,Malasiqui,Malasiqui,malasiqui-015524,015524,73,15.917,120.417
015525,Manaoag,Manaoag,manaoag-015525,015525,26,16.04389,120.48556
015526,Mangaldan,Mangaldan,mangaldan-015526,015526,30,16.067,120.4
015527,Mangatarem,Mangatarem,mangatarem-015527,015527,82,15.783,120.3
015528,Mapandan,Mapandan,mapandan-015528,015528,15,16.017,120.45
015529,Natividad,Natividad,natividad-015529,015529,18,16.05,120.817
015530,Pozorrubio,Pozorrubio,pozorrubio-015530,015530,34,16.1089,120.5456
015531,Rosales,Rosales,rosales-015531,015531,37,15.883,120.633
015532,San Carlos City,San Carlos City,san-carlos-city-015532,015532,86,15.92806,120.34889
015533,San Fabian,San Fabian,san-fabian-015533,015533,34,16.15,120.45
015534,San Jacinto,San Jacinto,san-jacinto-015534,015534,19,16.0725,120.44111
015535,San Manuel,San Manuel,san-manuel-015535,015535,14,16.067,120.667
015536,San Nicolas,San Nicolas,san-nicolas-015536,015536,33,16.07,120.76528
015537,San Quintin,San Quintin,san-quintin-015537,015537,21,15.98444,120.815
015538,Santa Barbara,Santa Barbara,santa-barbara-015538,015538,29,16.00306,120.40083
015539,Santa Maria,Santa Maria,santa-maria-015539,015539,23,15.98083,120.70028
015540,Santo Tomas,Santo Tomas,santo-tomas-015540,015540,10,15.71194,120.58472
015541,Sison,Sison,sison-015541,015541,28,16.15694,120.52222
015542,Sual,Sual,sual-015542,015542,19,16.067,120.1
015543,Tayug,Tayug,tayug-015543,015543,21,16.02361,120.74778
015544,Umingan,Umingan,umingan-015544,015544,58,15.9,120.8
015545,Urbiztondo,Urbiztondo,urbiztondo-015545,015545,21,15.817,120.35
015546,Urdaneta,Urdaneta,urdaneta-015546,015546,34,15.97611,120.57111
015547,Villasis,Villasis,villasis-015547,015547,21,15.9,120.583
