id,name.local,name.en,name.slug,code.id,children_count.barangay,geo.lat,geo.lon
104201,Aloran,Aloran,aloran-104201,104201,38,8.417,123.817
104202,Baliangao,Baliangao,baliangao-104202,104202,15,8.667,123.6
104203,Bonifacio,Bonifacio,bonifacio-104203,104203,28,8.1,123.6
104204,Calamba,Calamba,calamba-104204,104204,19,8.55833,123.64167
104205,Clarin,Clarin,clarin-104205,104205,29,8.2,123.85
104206,Concepcion,Concepcion,concepcion-104206,104206,18,8.417,123.6
104217,Don Victoriano Chiongbian  (Don Mariano Marcos),Don Victoriano Chiongbian  (Don Mariano Marcos),don-victoriano-chiongbian-don-mariano-marcos-104217,104217,11,8.3,123.583
104207,Jimenez,Jimenez,jimenez-104207,104207,24,8.333,123.833
104208,Lopez Jaena,Lopez Jaena,lopez-jaena-104208,104208,28,8.55,123.767
104209,Oroquieta City,Oroquieta City,oroquieta-city-104209,104209,47,8.483,123.8
104210,Ozamiz City,Ozamiz City,ozamiz-city-104210,104210,51,8.15,123.85
104211,Panaon,Panaon,panaon-104211,104211,16,8.367,123.833
104212,Plaridel,Plaridel,plaridel-104212,104212,33,8.617,123.7
104213,Sapang Dalaga,Sapang Dalaga,sapang-dalaga-104213,104213,28,8.55,123.567
104214,Sinacaban,Sinacaban,sinacaban-104214,104214,17,8.283,123.733
104215,Tangub City,Tangub City,tangub-city-104215,104215,55,8.067,123.75
104216,Tudela,Tudela,tudela-104216,104216,33,8.25,123.833
