id,name.local,name.en,name.slug,code.id,children_count.barangay,geo.lat,geo.lon
041001,Agoncillo,Agoncillo,agoncillo-041001,041001,21,13.933,120.933
041002,Alitagtag,Alitagtag,alitagtag-041002,041002,19,13.867,121
041003,Balayan,Balayan,balayan-041003,041003,48,13.933,120.733
041004,Balete,Balete,balete-041004,041004,13,14.02722,121.09806
041005,Batangas City,Batangas City,batangas-city-041005,041005,105,13.75,121.05
041006,Bauan,Bauan,bauan-041006,041006,40,13.80194,121.01306
041007,Calaca,Calaca,calaca-041007,041007,40,13.967,120.8
041008,Calatagan,Calatagan,calatagan-041008,041008,25,13.833,120.633
041009,Cuenca,Cuenca,cuenca-041009,041009,21,13.91667,121.04472
041010,Ibaan,Ibaan,ibaan-041010,041010,26,13.817,121.133
041011,Laurel,Laurel,laurel-041011,041011,21,14.05,120.9
041012,Lemery,Lemery,lemery-041012,041012,46,13.92,120.88
041013,Lian,Lian,lian-041013,041013,19,14.033,120.65
041014,Lipa City,Lipa City,lipa-city-041014,041014,72,13.9411,121.1622
041015,Lobo,Lobo,lobo-041015,041015,26,13.65,121.25
041016,Mabini,Mabini,mabini-041016,041016,34,13.717,120.9
041017,Malvar,Malvar,malvar-041017,041017,15,14.04056,121.15444
041018,Mataasnakahoy,Mataasnakahoy,mataasnakahoy-041018,041018,16,13.9694,121.1472
041019,Nasugbu,Nasugbu,nasugbu-041019,041019,42,14.067,120.633
041020,Padre Garcia,Padre Garcia,padre-garcia-041020,041020,18,13.883,121.217
041021,Rosario,Rosario,rosario-041021,041021,48,13.85,121.2
041022,San Jose,San Jose,san-jose-041022,041022,33,13.87722,121.105
041023,San Juan,San Juan,san-juan-041023,041023,42,13.833,121.4
041024,San Luis,San Luis,san-luis-041024,041024,26,13.833,120.933
041025,San Nicolas,San Nicolas,san-nicolas-041025,041025,18,13.917,120.95
041026,San Pascual,San Pascual,san-pascual-041026,041026,29,13.8075,121.04194
041027,Santa Teresita,Santa Teresita,santa-teresita-041027,041027,17,13.883,120.967
041028,Santo Tomas,Santo Tomas,santo-tomas-041028,041028,30,14.10917,121.14194
041029,Taal,Taal,taal-041029,041029,42,13.89417,120.92917
041030,Talisay,Talisay,talisay-041030,041030,21,14.1,121.017
041031,Tanauan,Tanauan,tanauan-041031,041031,48,11.12,125.02
041032,Taysan,Taysan,taysan-041032,041032,20,13.74194,121.22306
041033,Tingloy,Tingloy,tingloy-041033,041033,15,13.65,120.867
041034,Tuy,Tuy,tuy-041034,041034,22,14.017,120.733
