id,name.local,name.en,name.slug,code.id,children_count.barangay,geo.lat,geo.lon
144401,Barlig,Barlig,barlig-144401,144401,11,17.083,121.15
144402,Bauko,Bauko,bauko-144402,144402,22,16.983,120.867
144403,Besao,Besao,besao-144403,144403,14,17.1,120.817
144404,Bontoc,Bontoc,bontoc-144404,144404,16,17.08722,120.97556
144405,Natonin,Natonin,natonin-144405,144405,11,17.1,121.283
144406,Paracelis,Paracelis,paracelis-144406,144406,9,17.267,121.467
144407,Sabangan,Sabangan,sabangan-144407,144407,15,16.95,120.917
144408,Sadanga,Sadanga,sadanga-144408,144408,8,17.167,121.033
144409,Sagada,Sagada,sagada-144409,144409,19,17.083,120.9
144410,Tadian,Tadian,tadian-144410,144410,19,17,120.817
