id,name.local,name.en,name.slug,code.id,children_count.barangay,geo.lat,geo.lon
112401,Bansalan,Bansalan,bansalan-112401,112401,25,6.783,125.217
112402,Davao City,Davao City,davao-city-112402,112402,182,9.8438,123.7715
112403,Digos,Digos,digos-112403,112403,26,6.75,125.35
112404,Hagonoy,Hagonoy,hagonoy-112404,112404,21,6.683,125.3
112406,Kiblawan,Kiblawan,kiblawan-112406,112406,30,6.617,125.217
112407,Magsaysay,Magsaysay,magsaysay-112407,112407,22,10.867,121.05
112408,Malalag,Malalag,malalag-112408,112408,15,6.6,125.4
112410,Matanao,Matanao,matanao-112410,112410,33,6.75,125.233
112411,Padada,Padada,padada-112411,112411,17,6.633,125.35
112412,Santa Cruz,Santa Cruz,santa-cruz-112412,112412,18,14.5619,121.0799
112414,Sulop,Sulop,sulop-112414,112414,25,6.6,125.35
