id,name.local,name.en,name.slug,code.id,children_count.barangay,geo.lat,geo.lon
051701,Baao,Baao,baao-051701,051701,30,13.45611,123.36389
051702,Balatan,Balatan,balatan-051702,051702,17,13.317,123.233
051703,Bato,Bato,bato-051703,051703,33,13.35611,123.36389
051704,Bombon,Bombon,bombon-051704,051704,8,13.683,123.2
051705,Buhi,Buhi,buhi-051705,051705,38,13.433,123.517
051706,Bula,Bula,bula-051706,051706,33,13.467,123.283
051707,Cabusao,Cabusao,cabusao-051707,051707,9,13.717,123.1
051708,Calabanga,Calabanga,calabanga-051708,051708,48,13.717,123.233
051709,Camaligan,Camaligan,camaligan-051709,051709,13,13.625,123.15694
051710,Canaman,Canaman,canaman-051710,051710,24,13.65,123.167
051711,Caramoan,Caramoan,caramoan-051711,051711,49,13.767,123.867
051712,Del Gallego,Del Gallego,del-gallego-051712,051712,32,13.917,122.6
051713,Gainza,Gainza,gainza-051713,051713,8,13.617,123.15
051714,Garchitorena,Garchitorena,garchitorena-051714,051714,23,13.883,123.7
051715,Goa,Goa,goa-051715,051715,34,13.7,123.5
051716,Iriga City,Iriga City,iriga-city-051716,051716,36,13.417,123.417
051717,Lagonoy,Lagonoy,lagonoy-051717,051717,38,13.73861,123.52056
051718,Libmanan,Libmanan,libmanan-051718,051718,75,13.7,123.067
051719,Lupi,Lupi,lupi-051719,051719,38,13.817,122.9
051720,Magarao,Magarao,magarao-051720,051720,15,13.667,123.183
051721,Milaor,Milaor,milaor-051721,051721,20,13.6,123.183
051722,Minalabac,Minalabac,minalabac-051722,051722,25,13.567,123.183
051723,Nabua,Nabua,nabua-051723,051723,42,13.40139,123.37639
051724,Naga City,Naga City,naga-city-051724,051724,27,13.62,123.17
051725,Ocampo,Ocampo,ocampo-051725,051725,25,13.567,123.383
051726,Pamplona,Pamplona,pamplona-051726,051726,17,13.6,123.083
051727,Pasacao,Pasacao,pasacao-051727,051727,19,13.517,123.05
051728,Pili,Pili,pili-051728,051728,26,13.583,123.3
051729,Presentacion (Parubcan),Presentacion (Parubcan),presentacion-parubcan-051729,051729,18,13.717,123.75
051730,Ragay,Ragay,ragay-051730,051730,38,13.817,122.783
051731,Sagñay,Sagñay,sagay-051731,051731,19,13.60417,123.52
051732,San Fernando,San Fernando,san-fernando-051732,051732,22,13.567,123.15
051733,San Jose,San Jose,san-jose-051733,051733,29,13.717,123.517
051734,Sipocot,Sipocot,sipocot-051734,051734,46,13.767,122.983
051735,Siruma,Siruma,siruma-051735,051735,22,14,123.25
051736,Tigaon,Tigaon,tigaon-051736,051736,23,13.633,123.5
051737,Tinambac,Tinambac,tinambac-051737,051737,44,13.817,123.333
