id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.province,children_count.municipality,children_count.barangay,zip_codes,geo.lat,geo.lon
012820,3,Bayan,Municipality,San Nicolas,San Nicolas,san-nicolas-012820,012820,,012800,Ilocos Norte,Ilocos Norte,,,,24,,18.1725,120.59583
012821,3,Bayan,Municipality,Sarrat,Sarrat,sarrat-012821,012821,,012800,Ilocos Norte,Ilocos Norte,,,,24,,18.167,120.65
012822,3,Bayan,Municipality,Solsona,Solsona,solsona-012822,012822,,012800,Ilocos Norte,Ilocos Norte,,,,22,,18.1,120.767
012823,3,Bayan,Municipality,Vintar,Vintar,vintar-012823,012823,,012800,Ilocos Norte,Ilocos Norte,,,,33,,18.23,120.64194
012900,2,Lalawigan,Province,Ilocos Sur,Ilocos Sur,ilocos-sur-012900,012900,,R01,Ilocos Region,Ilocos Region,,,34,768,,16.945,120.604
012901,3,Bayan,Municipality,Alilem,Alilem,alilem-012901,012901,,012900,Ilocos Sur,Ilocos Sur,,,,9,,16.883,120.533
012902,3,Bayan,Municipality,Banayoyo,Banayoyo,banayoyo-012902,012902,,012900,Ilocos Sur,Ilocos Sur,,,,14,,17.233,120.483
012903,3,Bayan,Municipality,Bantay,Bantay,bantay-012903,012903,,012900,Ilocos Sur,Ilocos Sur,,,,34,,17.583,120.383
012904,3,Bayan,Municipality,Burgos,Burgos,burgos-012904,012904,,012900,Ilocos Sur,Ilocos Sur,,,,26,,17.333,120.5
012905,3,Bayan,Municipality,Cabugao,Cabugao,cabugao-012905,012905,,012900,Ilocos Sur,Ilocos Sur,,,,33,,17.8,120.45
012906,3,Bayan,Municipality,Candon,Candon,candon-012906,012906,,012900,Ilocos Sur,Ilocos Sur,,,,42,,17.2,120.45
012907,3,Bayan,Municipality,Caoayan,Caoayan,caoayan-012907,012907,,012900,Ilocos Sur,Ilocos Sur,,,,17,,17.533,120.4
012908,3,Bayan,Municipality,Cervantes,Cervantes,cervantes-012908,012908,,012900,Ilocos Sur,Ilocos Sur,,,,13,,16.99167,120.73333
012909,3,Bayan,Municipality,Galimuyod,Galimuyod,galimuyod-012909,012909,,012900,Ilocos Sur,Ilocos Sur,,,,24,,17.183,120.467
012910,3,Bayan,Municipality,Gregorio Del Pilar (Concepcion),Gregorio Del Pilar (Concepcion),gregorio-del-pilar-concepcion-012910,012910,,012900,Ilocos Sur,Ilocos Sur,,,,7,,6.4541,124.8801
012911,3,Bayan,Municipality,Lidlidda,Lidlidda,lidlidda-012911,012911,,012900,Ilocos Sur,Ilocos Sur,,,,11,,17.267,120.517
012912,3,Bayan,Municipality,Magsingal,Magsingal,magsingal-012912,012912,,012900,Ilocos Sur,Ilocos Sur,,,,30,,17.68333,120.425
012913,3,Bayan,Municipality,Nagbukel,Nagbukel,nagbukel-012913,012913,,012900,Ilocos Sur,Ilocos Sur,,,,12,,17.45,120.55
012914,3,Bayan,Municipality,Narvacan,Narvacan,narvacan-012914,012914,,012900,Ilocos Sur,Ilocos Sur,,,,34,,17.417,120.483
012915,3,Bayan,Municipality,Quirino (Angkaki),Quirino (Angkaki),quirino-angkaki-012915,012915,,012900,Ilocos Sur,Ilocos Sur,,,,9,,17.15,120.667
012916,3,Bayan,Municipality,Salcedo (Baugen),Salcedo (Baugen),salcedo-baugen-012916,012916,,012900,Ilocos Sur,Ilocos Sur,,,,21,,17.15,120.533
012917,3,Bayan,Municipality,San Emilio,San Emilio,san-emilio-012917,012917,,012900,Ilocos Sur,Ilocos Sur,,,,8,,17.233,120.617
012918,3,Bayan,Municipality,San Esteban,San Esteban,san-esteban-012918,012918,,012900,Ilocos Sur,Ilocos Sur,,,,10,,17.333,120.45
012919,3,Bayan,Municipality,San Ildefonso,San Ildefonso,san-ildefonso-012919,012919,,012900,Ilocos Sur,Ilocos Sur,,,,15,,17.617,120.4
012920,3,Bayan,Municipality,San Juan (Lapog),San Juan (Lapog),san-juan-lapog-012920,012920,,012900,Ilocos Sur,Ilocos Sur,,,,32,,17.72917,120.46083
012921,3,Bayan,Municipality,San Vicente,San Vicente,san-vicente-012921,012921,,012900,Ilocos Sur,Ilocos Sur,,,,7,,17.58111,120.34694
012922,3,Bayan,Municipality,Santa,Santa,santa-012922,012922,,012900,Ilocos Sur,Ilocos Sur,,,,26,,17.49056,120.43722
012923,3,Bayan,Municipality,Santa Catalina,Santa Catalina,santa-catalina-012923,012923,,012900,Ilocos Sur,Ilocos Sur,,,,9,,17.6,120.367
012924,3,Bayan,Municipality,Santa Cruz,Santa Cruz,santa-cruz-012924,012924,,012900,Ilocos Sur,Ilocos Sur,,,,49,,17.02,120.47472
012925,3,Bayan,Municipality,Santa Lucia,Santa Lucia,santa-lucia-012925,012925,,012900,Ilocos Sur,Ilocos Sur,,,,36,,17.117,120.45
012926,3,Bayan,Municipality,Santa Maria,Santa Maria,santa-maria-012926,012926,,012900,Ilocos Sur,Ilocos Sur,,,,33,,17.35861,120.49806
012927,3,Bayan,Municipality,Santiago,Santiago,santiago-012927,012927,,012900,Ilocos Sur,Ilocos Sur,,,,24,,17.3,120.45
012928,3,Bayan,Municipality,Santo Domingo,Santo Domingo,santo-domingo-012928,012928,,012900,Ilocos Sur,Ilocos Sur,,,,36,,17.633,120.417
012929,3,Bayan,Municipality,Sigay,Sigay,sigay-012929,012929,,012900,Ilocos Sur,Ilocos Sur,,,,7,,17.033,120.583
012930,3,Bayan,Municipality,Sinait,Sinait,sinait-012930,012930,,012900,Ilocos Sur,Ilocos Sur,,,,44,,17.86611,120.45806
