id,name.local,name.en,name.slug,code.id,children_count.barangay,geo.lat,geo.lon
086401,Anahawan,Anahawan,anahawan-086401,086401,14,10.283,125.25
086402,Bontoc,Bontoc,bontoc-086402,086402,40,10.35,124.967
086403,Hinunangan,Hinunangan,hinunangan-086403,086403,40,10.4,125.2
086404,Hinundayan,Hinundayan,hinundayan-086404,086404,17,10.35,125.25
086405,Libagon,Libagon,libagon-086405,086405,14,10.3,125.05
086406,Liloan,Liloan,liloan-086406,086406,24,10.15,125.133
086419,Limasawa,Limasawa,limasawa-086419,086419,6,9.93333,125.07222
086407,Maasin,Maasin,maasin-086407,086407,70,10.883,122.433
086408,Macrohon,Macrohon,macrohon-086408,086408,30,10.083,124.95
086409,Malitbog,Malitbog,malitbog-086409,086409,37,10.15,125
086410,Padre Burgos,Padre Burgos,padre-burgos-086410,086410,11,10.033,125.017
086411,Pintuyan,Pintuyan,pintuyan-086411,086411,23,9.95,125.25
086412,Saint Bernard,Saint Bernard,saint-bernard-086412,086412,30,10.283,125.133
086413,San Francisco,San Francisco,san-francisco-086413,086413,22,10.067,125.167
086414,San Juan (Cabalian),San Juan (Cabalian),san-juan-cabalian-086414,086414,18,10.267,125.183
086415,San Ricardo,San Ricardo,san-ricardo-086415,086415,15,9.917,125.283
086416,Silago,Silago,silago-086416,086416,15,10.533,125.15
086417,Sogod,Sogod,sogod-086417,086417,45,10.383,124.983
086418,Tomas Oppus,Tomas Oppus,tomas-oppus-086418,086418,29,10.25,124.983
