id,name.local,name.en,name.slug,code.id,children_count.barangay,geo.lat,geo.lon
023101,Alicia,Alicia,alicia-023101,023101,34,16.783,121.7
023102,Angadanan,Angadanan,angadanan-023102,023102,59,16.75,121.75
023103,Aurora,Aurora,aurora-023103,023103,33,16.99194,121.63694
023104,Benito Soliven,Benito Soliven,benito-soliven-023104,023104,29,16.983,121.95
023105,Burgos,Burgos,burgos-023105,023105,14,17.067,121.7
023106,Cabagan,Cabagan,cabagan-023106,023106,26,17.433,121.767
023107,Cabatuan,Cabatuan,cabatuan-023107,023107,22,16.95889,121.66917
023108,Cauayan,Cauayan,cauayan-023108,023108,65,13.2937,123.8982
023109,Cordon,Cordon,cordon-023109,023109,26,16.667,121.45
023118,Delfin Albano (Magsaysay),Delfin Albano (Magsaysay),delfin-albano-magsaysay-023118,023118,29,10.867,121.05
023110,Dinapigue,Dinapigue,dinapigue-023110,023110,6,16.667,122.35
023111,Divilacan,Divilacan,divilacan-023111,023111,12,17.333,122.3
023112,Echague,Echague,echague-023112,023112,64,16.7,121.65
023113,Gamu,Gamu,gamu-023113,023113,16,17.05,121.833
023114,Ilagan City,Ilagan City,ilagan-city-023114,023114,91,17.13,121.88
023115,Jones,Jones,jones-023115,023115,42,16.55806,121.70694
023116,Luna,Luna,luna-023116,023116,19,16.967,121.733
023117,Maconacon,Maconacon,maconacon-023117,023117,10,17.433,122.233
023119,Mallig,Mallig,mallig-023119,023119,18,17.2,121.617
023120,Naguilian,Naguilian,naguilian-023120,023120,25,17.02667,121.835
023121,Palanan,Palanan,palanan-023121,023121,17,17.05889,122.43
023122,Quezon,Quezon,quezon-023122,023122,15,16.697,121.6295
023123,Quirino,Quirino,quirino-023123,023123,21,17.133,121.7
023124,Ramon,Ramon,ramon-023124,023124,19,16.783,121.533
023125,Reina Mercedes,Reina Mercedes,reina-mercedes-023125,023125,20,16.983,121.783
023126,Roxas,Roxas,roxas-023126,023126,26,17.117,121.617
023127,San Agustin,San Agustin,san-agustin-023127,023127,23,16.517,121.75
023128,San Guillermo,San Guillermo,san-guillermo-023128,023128,26,16.767,121.8
023129,San Isidro,San Isidro,san-isidro-023129,023129,13,16.867,121.767
023130,San Manuel,San Manuel,san-manuel-023130,023130,19,17.017,121.633
023131,San Mariano,San Mariano,san-mariano-023131,023131,36,16.983,122.017
023132,San Mateo,San Mateo,san-mateo-023132,023132,33,16.883,121.583
023133,San Pablo,San Pablo,san-pablo-023133,023133,17,17.467,121.983
023134,Santa Maria,Santa Maria,santa-maria-023134,023134,20,17.467,121.75
023135,Santiago,Santiago,santiago-023135,023135,37,17.3,120.45
023136,Santo Tomas,Santo Tomas,santo-tomas-023136,023136,27,17.4,121.767
023137,Tumauini,Tumauini,tumauini-023137,023137,46,17.267,121.8
