id,name.local,name.en,name.slug,code.id,children_count.municipality,children_count.barangay,geo.lat,geo.lon
150700,Basilan,Basilan,basilan-150700,150700,12,210,7.6078,122.1204
153600,Lanao del Sur,Lanao del Sur,lanao-del-sur-153600,153600,40,1159,8.505,123.9808
153800,Maguindanao,Maguindanao,maguindanao-153800,153800,36,508,7.4308,124.179
156600,Sulu,Sulu,sulu-156600,156600,19,410,6.5156,121.1936
157000,Tawi-tawi,Tawi-tawi,tawi-tawi-157000,157000,11,203,6.1544,120.2632
